RA,DEC,Xgal,Ygal,Xeq,Yeq,ABR,NAME
330.964353583,35.1682358,-92.63354631,-19.3147037934,27.5594964426,38.7308994547,"AND","Andromeda"
330.956190083,53.1680298,-106.849312199,-2.25236601794,21.5233090275,57.3027774462,"AND","Andromeda"
345.430192917,53.1870041,-113.841834308,-7.72168204111,10.8313891345,57.0638816032,"AND","Andromeda"
345.4310455,50.6870193,-112.343633444,-10.5180856453,11.3312163566,54.566615587,"AND","Andromeda"
345.684703806,50.6929131,-112.47707208,-10.5967834764,11.1332349741,54.569581202,"AND","Andromeda"
345.685071917,48.6929169,-111.174667281,-12.8217137185,11.5078054502,52.5527512589,"AND","Andromeda"
0.2764245,48.6949348,-119.162791129,-16.8108810918,-0.222444679114,52.4733430773,"AND","Andromeda"
0.276218583333,46.6949348,-117.915579194,-19.2347651283,-0.229196917601,50.4415823484,"AND","Andromeda"
0.985071805556,46.6757545,-118.323416396,-19.3983169462,-0.817607142109,50.4223713373,"AND","Andromeda"
0.9859245,48.6757393,-119.561733317,-16.9663593257,-0.793633106776,52.4542734498,"AND","Andromeda"
15.2392271944,48.663269,-128.245038606,-18.3008073892,-12.2549190568,52.5336020626,"AND","Andromeda"
15.2403935833,50.6632347,-129.060822598,-15.7402347829,-11.8570242253,54.5507956905,"AND","Andromeda"
15.4938624167,50.6478767,-129.210060589,-15.7584442176,-12.0569049334,54.5385094699,"AND","Andromeda"
15.7979015833,50.6257439,-129.388067231,-15.783982546,-12.2975509755,54.5201108324,"AND","Andromeda"
15.7954293056,47.625843,-128.132223441,-19.6241055313,-12.908397799,51.4875985413,"AND","Andromeda"
30.1747660833,47.5927505,-137.830245347,-18.1512814276,-24.5897912092,51.7158158194,"AND","Andromeda"
30.1782534167,51.0925827,-138.446904389,-13.6719010235,-23.2197648333,55.2566203602,"AND","Andromeda"
30.6590319167,51.0423737,-138.740875257,-13.6389065366,-23.6067309589,55.2180995466,"AND","Andromeda"
30.6452894167,37.2931557,-133.982636153,-31.0925904404,-28.4648344554,41.0192458752,"AND","Andromeda"
30.1247394167,37.347084,-133.55125535,-31.1420604766,-27.9693998823,41.0653200103,"AND","Andromeda"
30.1236166944,35.5971375,-132.461213987,-33.3265053589,-28.4662611387,39.2088432971,"AND","Andromeda"
15.527389,35.6453362,-119.89135911,-34.6384954077,-14.7070328429,39.0368950499,"AND","Andromeda"
15.5264950833,33.6453705,-118.076033083,-37.0785204526,-14.9839039273,36.9129099124,"AND","Andromeda"
0.829537583333,33.6818962,-107.344995716,-34.6927286748,-0.801064577045,36.8750332903,"AND","Andromeda"
0.827566083333,24.4319324,-96.6957416346,-44.9502535922,-0.856270417209,26.9320886626,"AND","Andromeda"
0.961604305556,24.4266243,-96.7757879317,-45.0008600395,-0.99498881836,26.9263848743,"AND","Andromeda"
0.960987694444,21.6766376,-93.1612455724,-47.9209388106,-1.0099186828,23.9335602361,"AND","Andromeda"
0.249328083333,21.6951923,-92.7357079458,-47.6465689814,-0.261998398533,23.9536123472,"AND","Andromeda"
0.249376305556,22.6951923,-94.0696904102,-46.5969259148,-0.26063538827,25.043560542,"AND","Andromeda"
0.174001083333,22.6957588,-94.0228529016,-46.5693428018,-0.181856501671,25.0441701634,"AND","Andromeda"
0.1741895,28.6957588,-101.470730849,-40.0968870687,-0.175177453866,31.540905115,"AND","Andromeda"
0.107081083333,28.6960354,-101.427713313,-40.0751822956,-0.10768820676,31.5411974611,"AND","Andromeda"
